group,monitor,aqs_site_id,county,row_type,row,health_effects,period,period_start,period_end,value_shown,statistic,mean_ppb,screening_level_ppb,n_samples,n_weeks,coverage,coverage_flag,design_value,naaqs,dv_method,data_cutoff
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,Sep 2026,2026-09-01,2026-09-30,12.0246,mean of weekly means ÷ screening level,0.51093,0.04249,151.0,1.0,0.89881,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,2023,2023-01-01,2023-12-31,5.7075,mean ÷ screening level,0.64316,0.11269,7509.0,,0.85719,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,2024,2024-01-01,2024-12-31,7.7486,mean ÷ screening level,0.87316,0.11269,7410.0,,0.84358,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,2025,2025-01-01,2025-12-31,9.8953,mean ÷ screening level,1.11507,0.11269,7166.0,,0.81804,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,2026 YTD,2026-01-01,2026-09-12,9.2789,mean ÷ screening level,1.04561,0.11269,4944.0,,0.80784,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,Last 365 Days,2025-09-12,2026-09-12,10.147,mean ÷ screening level,1.14344,0.11269,7128.0,,0.81148,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,Benzene,Cancer,Sep 2026,2026-09-01,2026-09-30,13.6121,mean of weekly means ÷ screening level,1.53391,0.11269,151.0,1.0,0.89881,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,2023,2023-01-01,2023-12-31,11.5492,sum of pollutant ratios,,,,,0.85719,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,2024,2024-01-01,2024-12-31,13.8609,sum of pollutant ratios,,,,,0.84358,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,2025,2025-01-01,2025-12-31,17.1136,sum of pollutant ratios,,,,,0.81804,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,2026 YTD,2026-01-01,2026-09-12,16.0476,sum of pollutant ratios,,,,,0.80784,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,Last 365 Days,2025-09-12,2026-09-12,17.3141,sum of pollutant ratios,,,,,0.81148,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,total,Total (Combined),,Sep 2026,2026-09-01,2026-09-30,25.6366,sum of pollutant ratios,,,,,0.89881,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,"1,3-Butadiene",Cancer,2023,2023-01-01,2023-12-31,4.7169,mean ÷ screening level,0.20042,0.04249,7471.0,,0.85285,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,"1,3-Butadiene",Cancer,2024,2024-01-01,2024-12-31,5.4789,mean ÷ screening level,0.2328,0.04249,7381.0,,0.84028,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,"1,3-Butadiene",Cancer,2025,2025-01-01,2025-12-31,11.6928,mean ÷ screening level,0.49683,0.04249,7604.0,,0.86804,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,"1,3-Butadiene",Cancer,2026 YTD,2026-01-01,2026-09-12,2.1312,mean ÷ screening level,0.09055,0.04249,5237.0,,0.85572,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,"1,3-Butadiene",Cancer,Last 365 Days,2025-09-12,2026-09-12,4.6031,mean ÷ screening level,0.19559,0.04249,7554.0,,0.85997,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,"1,3-Butadiene",Cancer,Sep 2026,2026-09-01,2026-09-30,1.2952,mean of weekly means ÷ screening level,0.05503,0.04249,151.0,1.0,0.89881,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,Benzene,Cancer,2023,2023-01-01,2023-12-31,5.4268,mean ÷ screening level,0.61153,0.11269,7459.0,,0.85148,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,Benzene,Cancer,2024,2024-01-01,2024-12-31,5.1044,mean ÷ screening level,0.5752,0.11269,7472.0,,0.85064,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,Benzene,Cancer,2025,2025-01-01,2025-12-31,3.9703,mean ÷ screening level,0.4474,0.11269,7585.0,,0.86587,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,Benzene,Cancer,2026 YTD,2026-01-01,2026-09-12,1.9859,mean ÷ screening level,0.22379,0.11269,5224.0,,0.85359,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,Benzene,Cancer,Last 365 Days,2025-09-12,2026-09-12,2.8513,mean ÷ screening level,0.3213,0.11269,7541.0,,0.85849,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,pollutant,Benzene,Cancer,Sep 2026,2026-09-01,2026-09-30,1.7472,mean of weekly means ÷ screening level,0.19689,0.11269,151.0,1.0,0.89881,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,total,Total (Combined),,2023,2023-01-01,2023-12-31,10.1437,sum of pollutant ratios,,,,,0.85148,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,total,Total (Combined),,2024,2024-01-01,2024-12-31,10.5833,sum of pollutant ratios,,,,,0.84028,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,total,Total (Combined),,2025,2025-01-01,2025-12-31,15.6631,sum of pollutant ratios,,,,,0.86587,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,total,Total (Combined),,2026 YTD,2026-01-01,2026-09-12,4.1171,sum of pollutant ratios,,,,,0.85359,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,total,Total (Combined),,Last 365 Days,2025-09-12,2026-09-12,7.4544,sum of pollutant ratios,,,,,0.85849,,,,,2026-09-12
Cancer Risk,HRM-16 Deer Park [48] POC 1,48-201-1614,Harris,total,Total (Combined),,Sep 2026,2026-09-01,2026-09-30,3.0424,sum of pollutant ratios,,,,,0.89881,,,,,2026-09-12
Cancer Risk,HRM-3 Haden Road [B] [22] POC 3,48-201-0803,Harris,pollutant,"1,3-Butadiene",Cancer,2023,2023-01-01,2023-12-31,2.7067,mean ÷ screening level,0.11501,0.04249,7422.0,,0.84726,,,,,2026-09-12
Cancer Risk,HRM-3 Haden Road [B] [22] POC 3,48-201-0803,Harris,pollutant,"1,3-Butadiene",Cancer,2024,2024-01-01,2024-12-31,3.752,mean ÷ screening level,0.15942,0.04249,6991.0,,0.79588,,,,,2026-09-12
Cancer Risk,HRM-3 Haden Road [B] [22] POC 3,48-201-0803,Harris,pollutant,"1,3-Butadiene",Cancer,2025,2025-01-01,2025-12-31,3.1728,mean ÷ screening level,0.13481,0.04249,7505.0,,0.85674,,,,,2026-09-12
Cancer Risk,HRM-3 Haden Road [B] [22] POC 3,48-201-0803,Harris,pollutant,"1,3-Butadiene",Cancer,2026 YTD,2026-01-01,2026-09-12,1.8902,mean ÷ screening level,0.08032,0.04249,5203.0,,0.85016,,,,,2026-09-12
Cancer Risk,HRM-3 Haden Road [B] [22] POC 3,48-201-0803,Harris,pollutant,"1,3-Butadiene",Cancer,Last 365 Days,2025-09-12,2026-09-12,2.1351,mean ÷ screening level,0.09072,0.04249,7491.0,,0.8528,,,,,2026-09-12
Cancer Risk,HRM-3 Haden Road [B] [22] POC 3,48-201-0803,Harris,pollutant,"1,3-Butadiene",Cancer,Sep 2026,2026-09-01,2026-09-30,2.5821,mean of weekly means ÷ screening level,0.10971,0.04249,139.0,1.0,0.82738,,,,,2026-09-12
Cancer Risk,HRM-3 Haden Road [B] [22] POC 3,48-201-0803,Harris,pollutant,Benzene,Cancer,2023,2023-01-01,2023-12-31,5.2412,mean ÷ screening level,0.59061,0.11269,7505.0,,0.85674,,,,,2026-09-12
Cancer Risk,HRM-3 Haden Road [B] [22] POC 3,48-201-0803,Harris,pollutant,Benzene,Cancer,2024,2024-01-01,2024-12-31,4.9605,mean ÷ screening level,0.55899,0.11269,6819.0,,0.7763,,,,,2026-09-12
Cancer Risk,HRM-3 Haden Road [B] [22] POC 3,48-201-0803,Harris,pollutant,Benzene,Cancer,2025,2025-01-01,2025-12-31,3.5343,mean ÷ screening level,0.39827,0.11269,7505.0,,0.85674,,,,,2026-09-12
